address,weekly price,number of bedrooms,number of bathrooms,number of parking,Property_Features,number_of_schools,distance to the closest schools(meters)
Watson,620.0,3,1,2,Built in wardrobes,14,439
Macgregor,480.0,2,1,3,Secure Parking,10,696
Holt,520.0,2,2,2,nan,10,812
Kingston,550.0,1,1,1,Close to transport,15,615
Greenway,465.0,1,1,1,nan,13,1030
Hackett,950.0,3,2,2,Air conditioning,13,178
Lyneham,550.0,1,1,1,Floorboards,13,320
Braddon,590.0,2,1,1,nan,13,195
Wright,580.0,2,2,2,nan,9,327
Page,365.0,1,1,1,Close to transport,12,419
Narrabundah,650.0,2,2,1,Air conditioning,13,459
Gungahlin,450.0,1,1,1,nan,11,580
Macquarie,740.0,3,1,1,Secure Parking,9,522
Farrer,585.0,3,1,1,nan,13,1170
Calwell,750.0,4,2,1,Air conditioning,10,631
Gungahlin,440.0,1,1,1,Close to transport,10,674
Curtin,720.0,3,1,1,nan,13,223
Dickson,650.0,2,1,2,Secure Parking,14,443
Red Hill,990.0,4,2,2,Swimming Pool,14,554
Farrer,775.0,3,2,2,nan,13,670
Gungahlin,nan,4,2,2,Heating,10,603
Braddon,460.0,1,1,0,Pets Allowed,13,644
Phillip,465.0,1,1,1,Air conditioning,14,424
Phillip,840.0,3,2,2,Gym,14,458
Garran,720.0,3,2,2,nan,13,404
Higgins,650.0,3,2,2,Secure Parking,10,510
Belconnen,470.0,2,1,1,nan,10,660
Kingston,nan,3,2,2,Heating,15,692
Kingston,690.0,2,2,2,nan,15,1136
Griffith,590.0,1,1,1,Secure Parking,15,753
Belconnen,480.0,1,1,1,nan,10,325
Franklin,nan,1,1,1,Built in wardrobes,11,908
Reid,630.0,2,2,1,Air conditioning,13,790
Phillip,450.0,1,1,1,Air conditioning,14,399
Phillip,440.0,1,1,1,Air conditioning,14,424
Griffith,650.0,2,2,2,Pets Allowed,15,201
Kingston,960.0,3,3,2,nan,15,847
Lyneham,680.0,2,2,2,Spacious two-bedroom unit,13,435
Griffith,570.0,2,2,1,nan,15,690
Ngunnawal,550.0,3,2,2,Air conditioning,11,1039
Phillip,710.0,3,2,2,Balcony,14,547
Franklin,nan,2,2,2,nan,10,919
Gungahlin,460.0,1,1,1,Gym,12,409
Strathnairn,800.0,4,2,2,Built in wardrobes,8,2088
Scullin,500.0,2,1,1,Built in wardrobes,13,474
Holt,490.0,2,1,1,Dishwasher,10,812
Kingston,600.0,2,2,1,nan,15,356
Denman Prospect,480.0,1,1,1,Pets Allowed,7,737
Phillip,520.0,1,1,1,Gym,14,405
Lyneham,400.0,1,1,1,nan,13,306
City,720.0,2,2,2,Air conditioning,13,1235
Phillip,440.0,1,1,1,Air conditioning,16,508
Phillip,550.0,2,2,1,Air conditioning,16,508
Phillip,450.0,1,1,1,nan,14,569
McKellar,nan,3,3,2,Air conditioning,12,1348
Amaroo,580.0,3,2,1,Secure Parking,11,793
Evatt,530.0,2,1,1,Built in wardrobes,12,433
Banks,520.0,3,1,1,nan,6,1060
Throsby,775.0,4,2,1,nan,7,544
Lawson,680.0,3,2,2,Secure Parking,12,965
Kingston,680.0,1,1,1,Balcony,15,1142
Torrens,680.0,3,2,1,nan,13,296
Denman Prospect,460.0,1,1,1,Air conditioning,7,573
Phillip,500.0,1,1,1,nan,14,384
Kingston,800.0,2,2,1,Air conditioning,15,757
Reid,500.0,1,2,1,nan,13,735
Amaroo,500.0,2,1,1,Pets Allowed,11,381
Moncrieff,520.0,2,2,1,nan,8,390
Coombs,680.0,3,2,2,nan,10,666
Moncrieff,520.0,2,2,1,Energy Eff. Rating: 7.5,8,390
Banks,610.0,3,1,2,nan,6,1026
Forde,780.0,4,2,2,Energy Eff. Rating: 5,9,874
Watson,490.0,2,1,1,Energy Eff. Rating: 7,11,1826
Kingston,750.0,2,2,2,nan,15,677
Kingston,nan,1,1,1,Heating,15,804
Casey,nan,3,2,1,Air conditioning,10,1109
Braddon,500.0,1,1,1,Air conditioning,13,676
Greenway,540.0,1,1,1,Air conditioning,12,175
Dickson,650.0,2,2,1,nan,14,629
Phillip,550.0,2,1,1,Alarm System,14,547
Hackett,990.0,4,3,2,Dishwasher,11,926
Kingston,650.0,3,2,1,Air conditioning,15,572
Curtin,800.0,5,3,1,nan,13,813
Phillip,540.0,2,2,1,Air conditioning,14,399
Phillip,450.0,1,1,1,Energy Eff. Rating: 6,14,547
Phillip,630.0,2,2,2,Air conditioning,14,547
Phillip,670.0,2,2,2,Air conditioning,14,547
Fraser,195.0,1,1,0,Close to transport,8,546
Mawson,700.0,4,1,2,nan,13,729
Campbell,520.0,1,1,1,nan,13,171
Dickson,300.0,2,2,1,Gym,14,235
Harrison,nan,3,2,1,Built in wardrobes,8,239
Harrison,650.0,3,2,2,Pets Allowed,11,358
Amaroo,510.0,2,1,2,Pets Allowed,11,381
Wright,540.0,2,2,1,Pets Allowed,9,757
City,735.0,2,1,1,Pets Allowed,13,1645
Hughes,600.0,4,1,3,Courtyard,13,382
Flynn,nan,3,2,2,Built in wardrobes,10,908
Florey,680.0,2,2,2,nan,12,438
Bruce,835.0,3,2,2,Air conditioning,12,412
Phillip,500.0,1,1,1,Secure Parking,14,813
Torrens,1000.0,5,2,1,nan,13,281
Braddon,625.0,1,1,1,Air conditioning,13,436
Phillip,450.0,1,1,1,Double glazed windows,14,399
Campbell,510.0,2,1,1,nan,13,298
Coombs,560.0,2,2,2,Intercom,9,647
Kingston,570.0,2,1,2,Energy Eff. Rating: 2,15,738
Harrison,580.0,2,2,2,Built in wardrobes,11,435
Greenway,560.0,2,2,1,nan,12,570
Ngunnawal,600.0,3,1,2,Secure Parking,9,385
Barton,600.0,1,1,1,Air conditioning,14,737
Phillip,620.0,2,1,2,Open Fire Place,13,448
Ngunnawal,600.0,3,1,2,Secure Parking,9,385
Narrabundah,610.0,1,1,1,Fully fenced,15,421
Farrer,520.0,2,1,1,nan,13,601
Belconnen,590.0,2,1,2,Partially furnished,10,228
Turner,500.0,1,1,1,Pets Allowed,13,266
Braddon,480.0,1,1,0,Pets Allowed,13,644
City,800.0,2,2,2,Balcony,13,1107
Belconnen,490.0,1,1,1,Balcony,10,273
Melba,550.0,2,1,1,nan,11,368
Phillip,760.0,3,2,2,Energy Eff. Rating: 6,14,389
Phillip,500.0,1,1,1,nan,14,720
Coombs,465.0,1,1,1,nan,9,439
Phillip,630.0,2,2,1,Gym,14,405
Campbell,550.0,1,1,1,Secure Parking,13,309
Lawson,650.0,3,3,3,Air conditioning,12,1014
Kingston,500.0,1,1,1,nan,15,556
Waramanga,675.0,3,2,2,Air conditioning,13,436
Taylor,500.0,1,1,0,nan,9,564
Belconnen,570.0,2,2,1,Pets Allowed,10,273
Wright,420.0,1,1,1,Pets Allowed,9,757
Belconnen,540.0,1,1,1,Air conditioning,10,531
Kingston,535.0,1,1,1,nan,15,412
Cook,630.0,3,2,1,Air conditioning,10,615
Bruce,440.0,1,1,1,Dishwasher,12,943
Belconnen,500.0,1,1,1,Pets Allowed,10,252
Bruce,480.0,1,1,1,Air conditioning,12,879
Denman Prospect,620.0,2,2,2,Open plan living,7,778
Wanniassa,470.0,2,1,1,Balcony,11,397
Griffith,480.0,1,1,1,nan,15,595
Phillip,470.0,1,1,1,Energy Eff. Rating: 6,14,728
Griffith,nan,2,1,1,Built in wardrobes,15,333
Downer,630.0,2,2,1,Air conditioning,15,881
Nicholls,800.0,5,2,2,Energy Eff. Rating: 3,12,423
Campbell,58.0,3,2,2,Built in wardrobes,13,411
Turner,550.0,1,1,1,Furnished,13,1172
Lyneham,520.0,1,1,1,Energy Eff. Rating: 5.5,13,435
Phillip,420.0,1,1,1,Air conditioning,14,547
Braddon,780.0,2,2,2,nan,13,601
Isaacs,895.0,5,3,2,Close to transport,13,1056
Harrison,450.0,1,1,1,nan,9,113
Hughes,760.0,3,1,3,nan,13,300
Coombs,650.0,3,2,2,nan,9,348
Denman Prospect,510.0,1,1,1,Air conditioning,7,834
Deakin,1300.0,4,2,2,Air conditioning,15,573
Phillip,nan,1,1,1,Built in wardrobes,14,453
Braddon,nan,2,2,2,Built in wardrobes,13,601
Turner,540.0,1,1,1,Secure Parking,13,456
Braddon,650.0,2,2,1,nan,13,788
Narrabundah,700.0,3,1,1,nan,14,625
Franklin,765.0,4,2,2,Air conditioning,11,488
Turner,410.0,1,1,1,Close to transport,13,1112
Kambah,550.0,3,1,1,nan,14,485
Page,585.0,3,1,1,Air conditioning,13,1154
Kingston,850.0,2,3,2,Air conditioning,15,805
Wanniassa,520.0,2,1,1,nan,11,397
Lyneham,625.0,1,1,1,Air conditioning,13,508
Weston,500.0,2,2,2,Secure Parking,14,398
Taylor,600.0,2,2,2,Energy Eff. Rating: 7,10,156
Denman Prospect,940.0,4,2,2,Air conditioning,7,742
Lyneham,500.0,1,1,0,Air conditioning,13,508
Amaroo,800.0,4,2,2,Secure Parking,11,874
Phillip,750.0,3,2,2,Balcony,14,892
Giralang,830.0,5,3,2,nan,11,358
Strathnairn,785.0,4,2,2,Built in wardrobes,8,1932
Barton,650.0,1,1,1,Furnished,14,807
Phillip,500.0,1,1,1,Air conditioning,14,399
Braddon,630.0,2,2,1,nan,13,882
Dunlop,580.0,3,1,1,Built in wardrobes,9,1629
Phillip,nan,1,1,1,Built in wardrobes,14,564
Braddon,595.0,1,1,1,Air conditioning,13,518
Turner,630.0,2,2,2,Built in wardrobes,13,1172
Phillip,nan,1,1,1,Furnished,14,384
Macquarie,650.0,3,1,1,Floorboards,9,295
Pearce,280.0,2,2,1,nan,13,181
Belconnen,550.0,2,2,1,Pets Allowed,10,232
Phillip,580.0,2,1,1,Air conditioning,16,508
Phillip,300.0,3,2,2,nan,14,547
Phillip,250.0,3,2,2,nan,14,547
Braddon,550.0,1,1,1,Air conditioning,13,814
Dickson,600.0,1,2,1,Air conditioning,14,508
Denman Prospect,660.0,2,2,2,nan,7,711
Wright,nan,4,2,2,Built in wardrobes,9,578
nan,490.0,1,1,1,Built in wardrobes,13,193
Dickson,667.0,2,2,2,nan,14,557
Braddon,460.0,1,1,0,Pets Allowed,13,644
City,570.0,1,1,1,Balcony,13,1989
Red Hill,480.0,1,1,1,Air conditioning,14,189
Belconnen,540.0,2,2,1,Air conditioning,10,244
Gilmore,750.0,4,2,2,Secure Parking,9,437
Kingston,580.0,1,1,1,nan,15,1058
Page,390.0,1,1,1,Built in wardrobes,13,593
Phillip,750.0,3,2,2,nan,14,458
Belconnen,440.0,1,1,1,nan,10,635
Franklin,570.0,2,2,2,Energy Eff. Rating: 6,10,983
Franklin,600.0,2,2,2,Air conditioning,9,308
Franklin,560.0,2,2,2,Secure Parking,9,368
Franklin,550.0,2,2,2,nan,9,337
Forrest,0.0,3,2,2,nan,14,471
Evatt,700.0,4,2,1,Energy Eff. Rating: 2,12,749
Phillip,510.0,1,1,1,Air conditioning,14,547
Barton,730.0,2,1,1,Spacious living and dining areas,14,290
Turner,750.0,2,2,2,nan,13,385
Yarralumla,50.0,4,2,2,nan,14,183
Garran,125.0,4,3,2,Energy Eff. Rating: 6.5,13,419
Barton,520.0,1,1,1,Air conditioning,14,737
Forde,680.0,3,1,2,Fully fenced,10,220
Belconnen,600.0,2,2,2,Intercom,10,204
Ngunnawal,570.0,3,1,1,Built in wardrobes,10,310
Belconnen,570.0,2,2,1,Pets Allowed,10,223
Mawson,720.0,3,2,2,nan,13,484
Phillip,600.0,2,2,2,Balcony,14,547
Kambah,nan,3,1,2,Floorboards,14,663
Charnwood,nan,3,2,2,Heating,9,476
Amaroo,420.0,1,1,1,Pets Allowed,11,381
Dickson,780.0,2,2,1,Air conditioning,14,508
Lyons,730.0,4,1,2,Energy Eff. Rating: 1.5,14,926
Braddon,570.0,1,1,1,Air conditioning,13,728
Phillip,230.0,1,1,1,Air conditioning,14,399
Dickson,720.0,4,2,2,Secure Parking,14,257
Theodore,735.0,4,2,2,Air conditioning,8,618
Belconnen,480.0,2,1,1,Floorboards,10,689
Dickson,675.0,1,1,1,Air conditioning,14,508
Belconnen,440.0,1,1,0,Built in wardrobes,10,223
Dickson,650.0,2,2,1,Ensuite,14,623
Nicholls,810.0,4,2,2,Air conditioning,11,1576
Gungahlin,660.0,5,2,2,Secure Parking,10,928
Evatt,630.0,3,1,2,Energy Eff. Rating: 2,12,311
Phillip,570.0,2,2,1,Air conditioning,14,453
Reid,510.0,1,1,1,Air conditioning,13,731
Curtin,635.0,2,2,2,nan,13,263
Braddon,680.0,1,1,1,Air conditioning,13,582
Belconnen,550.0,2,2,2,Built in wardrobes,10,612
Greenway,480.0,1,1,1,Furnished,12,175
Hackett,710.0,4,1,2,Close to transport,13,177
Hackett,820.0,4,2,1,nan,13,196
Denman Prospect,950.0,4,2,2,Secure Parking,7,699
Franklin,440.0,1,1,1,Air conditioning,10,928
Chisholm,650.0,3,1,1,Deck,11,610
Giralang,nan,4,2,1,Built in wardrobes,11,621
Page,nan,4,2,2,Energy Eff. Rating: 6.7,13,913
Lyons,350.0,1,1,1,nan,14,551
Pearce,nan,2,1,1,nan,13,512
Phillip,570.0,2,2,1,Air conditioning,14,453
Belconnen,nan,2,2,2,nan,12,885
Turner,nan,2,2,2,Dishwasher,13,528
Spence,575.0,3,1,1,Secure Parking,12,1027
Florey,620.0,3,1,4,nan,12,313
Taylor,420.0,1,1,0,nan,7,1256
Lyneham,550.0,1,1,1,Air conditioning,13,435
Reid,650.0,2,2,1,Pets Allowed,13,777
Franklin,580.0,2,2,2,nan,9,337
