address,weekly price,number of bedrooms,number of bathrooms,number of parking,Property_Features,number_of_schools,distance to the closest schools(meters)
City,nan,1,1,1,Energy Eff. Rating: 5,13,1098
Lyons,620.0,3,1,1,Close to transport,14,557
Greenway,600.0,2,2,2,Pets Allowed,13,989
Curtin,495.0,2,1,0,nan,13,427
nan,1650.0,4,2,2,Energy Eff. Rating: 6,13,1043
Barton,670.0,2,2,1,Energy Eff. Rating: 6,14,806
Braddon,nan,2,2,1,Built in wardrobes,13,882
Phillip,281.0,2,2,1,Air conditioning,14,409
Braddon,nan,2,2,2,Ensuite(s),13,558
Belconnen,480.0,2,1,1,nan,10,660
Coombs,540.0,2,1,1,Pets Allowed,9,647
Coombs,790.0,4,3,2,Built in wardrobes,9,662
Banks,360.0,1,1,1,Air conditioning,6,1319
Bruce,830.0,4,2,2,Secure Parking,12,692
Kingston,750.0,3,2,2,nan,15,691
Ngunnawal,620.0,3,2,2,Secure Parking,11,1100
Lyneham,500.0,2,1,1,nan,13,196
Kambah,630.0,3,1,1,nan,11,1275
Bruce,445.0,1,1,1,Built in wardrobes,12,696
Wright,450.0,1,1,1,Secure Parking,9,190
City,540.0,1,1,1,Intercom,13,1692
Rivett,560.0,3,1,1,Bathtub,14,1202
Griffith,560.0,2,1,1,nan,15,595
Duffy,750.0,4,1,3,nan,10,422
Ainslie,360.0,3,1,2,Secure Parking,13,518
Mawson,640.0,3,2,1,nan,13,1014
Barton,750.0,2,2,2,Air conditioning,14,229
Barton,560.0,1,1,1,Intercom,14,806
Watson,100.0,4,3,2,Air conditioning,13,1027
Braddon,565.0,1,1,1,Air conditioning,13,816
Holder,nan,4,1,1,Built in wardrobes,13,497
Reid,490.0,1,1,1,Energy Eff. Rating: 7.5,13,731
Lyons,450.0,2,1,1,nan,14,987
Forrest,565.0,1,1,1,nan,14,172
Harrison,650.0,3,1,1,nan,10,1265
Lyons,695.0,3,1,1,Secure Parking,14,1302
Torrens,950.0,4,2,2,nan,13,454
Amaroo,550.0,3,1,1,Air conditioning,11,851
Gungahlin,720.0,3,2,2,Built in wardrobes,10,1195
Bruce,575.0,2,2,2,Secure Parking,12,801
Dickson,377.0,2,3,1,Air conditioning,14,508
Chifley,625.0,3,1,1,nan,13,1120
Franklin,510.0,2,1,1,nan,11,908
Gungahlin,500.0,2,1,0,nan,11,580
Mawson,nan,3,2,2,Air conditioning,13,283
City,800.0,2,2,2,Area Views,13,1711
Pearce,362.0,4,2,1,Floorboards,13,203
Dickson,625.0,2,1,1,Close to transport,14,675
Wright,530.0,2,1,1,Balcony,9,707
Palmerston,620.0,3,1,3,Secure Parking,11,307
Campbell,520.0,1,1,1,Close to transport,13,750
Greenway,540.0,1,1,1,Air conditioning,12,175
Gungahlin,490.0,1,1,1,Energy Eff. Rating: 5,10,585
Ngunnawal,570.0,3,1,1,Close to shops,10,1010
Phillip,710.0,3,2,2,Balcony,14,547
nan,420.0,1,1,0,nan,13,1201
Deakin,580.0,3,1,0,nan,14,724
Torrens,700.0,3,2,1,Secure Parking,13,296
Moncrieff,670.0,3,2,2,Secure Parking,8,316
nan,640.0,3,1,2,Courtyard,13,1113
Lawson,660.0,3,2,2,Secure Parking,12,1193
Hawker,500.0,3,2,1,Air conditioning,11,359
Waramanga,700.0,4,1,1,Built in wardrobes,13,483
Barton,485.0,1,1,1,nan,14,387
Downer,650.0,3,1,1,nan,15,798
Turner,460.0,1,1,1,Air conditioning,13,273
Throsby,725.0,3,2,2,Contemporary Complex,7,91
Turner,515.0,1,1,1,nan,13,528
Forrest,550.0,1,1,1,Energy Eff. Rating: 6,14,172
Phillip,490.0,1,1,1,Floorboards,14,547
Ainslie,nan,3,1,2,Heating,14,322
Bruce,820.0,4,2,2,nan,12,440
Mawson,650.0,3,1,2,Ensuite(s),13,957
Wright,330.0,3,2,2,Intercom,10,411
Yarralumla,1500.0,4,3,2,Balcony,14,606
Phillip,575.0,2,2,1,nan,14,399
Phillip,530.0,2,2,1,Secure Parking,14,547
Phillip,560.0,2,2,1,Air conditioning,14,399
Coombs,650.0,3,2,2,nan,10,457
Griffith,720.0,2,2,2,Air conditioning,15,234
Belconnen,800.0,2,2,2,Air conditioning,12,758
Gungahlin,770.0,4,3,2,Secure Parking,10,857
Franklin,670.0,3,2,1,nan,10,222
Greenway,600.0,2,2,2,nan,12,553
Amaroo,800.0,4,2,2,nan,11,1150
Wanniassa,500.0,2,1,1,nan,11,357
Calwell,nan,3,1,1,Air conditioning,10,357
City,1050.0,3,2,2,Energy Eff. Rating: 5,13,1235
Braddon,nan,2,2,2,Energy Eff. Rating: 5,13,604
Phillip,450.0,1,1,1,nan,14,547
Phillip,520.0,1,1,1,Gym,14,424
Belconnen,nan,2,2,2,Energy Eff. Rating: 5,12,758
Lyons,680.0,3,1,2,nan,14,691
Dickson,462.0,3,2,2,Air conditioning,14,508
Braddon,460.0,1,1,0,Pets Allowed,13,644
Hawker,215.0,2,1,1,nan,11,359
Griffith,720.0,2,2,2,nan,15,520
Throsby,800.0,4,2,2,Pets Allowed,8,1328
Phillip,450.0,1,1,1,Pets Allowed,14,547
Waramanga,650.0,3,1,1,Energy Eff. Rating: 1,13,415
Swinger Hill,570.0,2,1,1,nan,13,562
Swinger Hill,640.0,3,1,1,nan,14,818
Phillip,327.0,2,2,2,Air conditioning,14,424
Phillip,580.0,2,1,1,nan,14,547
Flynn,nan,3,2,2,Built in wardrobes,10,908
Belconnen,550.0,2,1,2,Pets Allowed,10,386
Campbell,520.0,1,1,1,nan,13,684
Pearce,nan,4,3,2,Study,13,526
Coombs,920.0,4,2,2,nan,9,603
Franklin,635.0,3,3,1,Energy Eff. Rating: 7,10,230
Moncrieff,770.0,4,2,2,Air conditioning,8,466
Strathnairn,620.0,4,2,1,Energy Eff. Rating: 7.5,7,2515
Casey,690.0,3,2,2,Pets Allowed,10,1521
Wright,440.0,1,1,1,Pets Allowed,9,757
Lyneham,500.0,1,1,1,Gym,13,435
Bonython,520.0,2,1,1,Secure Parking,11,908
Kingston,520.0,2,1,1,Air conditioning,15,692
Braddon,620.0,1,1,1,Air conditioning,13,676
Dickson,297.0,2,2,1,Gym,14,557
City,650.0,2,2,1,Furnished,13,1463
Amaroo,500.0,2,1,1,Pets Allowed,11,381
Harrison,550.0,2,2,2,Pets Allowed,11,358
Kingston,950.0,3,2,2,Air conditioning,15,1104
Forrest,740.0,2,2,2,nan,14,453
Wright,980.0,4,2,2,Main bedroom with walk-in wardrobe and ensuite,10,639
Phillip,650.0,2,2,2,Air conditioning,14,909
Ainslie,525.0,1,1,1,Secure Parking,14,622
Barton,550.0,1,1,1,Air conditioning,14,785
Phillip,495.0,1,1,1,Air conditioning,14,547
Kingston,740.0,2,2,2,Air conditioning,15,681
Phillip,nan,1,1,1,Dishwasher,14,547
Wright,450.0,1,1,1,Pets Allowed,9,757
Hackett,420.0,1,1,0,nan,13,402
Kambah,352.0,2,1,1,Secure Parking,15,384
nan,640.0,2,2,1,Air conditioning,13,339
City,550.0,1,1,1,Area Views,13,1333
Harrison,700.0,4,2,2,Close to transport,7,748
City,650.0,2,1,1,nan,13,1137
Amaroo,500.0,2,1,1,Pets Allowed,11,381
Belconnen,520.0,2,1,3,Ensuite(s),12,784
Gungahlin,525.0,2,1,1,Secure Parking,12,409
Griffith,750.0,2,2,2,Air conditioning,15,234
Phillip,395.0,1,1,0,Air conditioning,14,424
Gungahlin,750.0,4,2,1,nan,10,1315
Phillip,550.0,2,1,1,Secure Parking,14,547
Kingston,560.0,2,2,1,Air conditioning,15,489
Yarralumla,75.0,4,2,2,Ensuite,14,652
Garran,1570.0,4,2,4,Energy Eff. Rating: 6,13,440
Strathnairn,550.0,2,1,1,Energy Eff. Rating: 6,8,2265
Macquarie,675.0,3,2,2,nan,11,236
Gungahlin,500.0,2,1,1,Energy Eff. Rating: 6,11,453
Throsby,775.0,4,2,2,Ducted heating and cooling,7,138
Latham,690.0,3,2,2,Floorboards,10,899
Gordon,nan,3,2,1,Bath,8,662
Dickson,470.0,1,1,1,Pets Allowed,14,750
Franklin,440.0,1,1,1,Pets Allowed,10,919
Amaroo,510.0,2,2,2,Pets Allowed,11,381
Belconnen,750.0,3,2,2,Air conditioning,10,160
Gungahlin,450.0,1,1,1,Floorboards,10,718
Dickson,nan,2,1,1,Built in wardrobes,14,623
Weston,305.0,3,2,1,nan,14,412
Barton,560.0,1,1,1,nan,14,686
Phillip,540.0,2,2,1,Air conditioning,14,424
Phillip,nan,1,1,1,Dishwasher,14,874
nan,550.0,1,1,1,Furnished,13,193
Bruce,820.0,4,2,2,Air conditioning,12,467
Campbell,835.0,3,2,1,Ensuite,13,171
Coombs,450.0,1,1,1,Intercom,10,408
Phillip,620.0,2,2,1,Air conditioning,14,453
Franklin,420.0,1,1,1,Secure Parking,11,641
Phillip,575.0,2,2,1,nan,14,409
Belconnen,570.0,3,1,2,Built in wardrobes,10,723
Holt,680.0,3,2,2,Air conditioning,10,892
Braddon,720.0,2,2,2,Air conditioning,13,518
Turner,nan,2,2,2,Pets Allowed,13,222
Bruce,450.0,1,1,1,nan,12,947
Forde,530.0,2,1,1,Fully fenced,9,858
Narrabundah,640.0,3,2,1,Secure Parking,14,1041
Campbell,750.0,3,1,2,Air conditioning,13,568
Phillip,490.0,1,1,1,Air conditioning,14,399
Crace,125.0,5,3,2,Kitchen with gourmet sized gas cooking and large walk-in pantry,11,716
Campbell,2650.0,4,4,6,Secure Parking,13,544
Phillip,820.0,3,2,2,Energy Eff. Rating: 6,14,389
Lawson,980.0,5,3,2,Dishwasher,12,1184
Phillip,510.0,1,1,1,Gym,14,424
Braddon,690.0,2,1,1,Built in wardrobes,13,518
Braddon,500.0,2,1,1,nan,13,290
Phillip,470.0,1,1,1,nan,14,405
Gungahlin,600.0,2,2,2,Energy Eff. Rating: 6,11,548
Barton,530.0,1,1,1,nan,14,806
Coombs,1280.0,5,3,4,nan,9,982
Harrison,450.0,1,1,1,nan,9,113
Nicholls,360.0,1,1,0,Heating,12,322
Curtin,470.0,2,1,1,Air conditioning,13,405
Turner,600.0,1,1,1,Furnished,13,1013
Griffith,520.0,2,1,1,nan,15,238
Harrison,440.0,1,1,1,Pets Allowed,11,358
Phillip,550.0,2,1,1,Air conditioning,14,850
Turner,nan,3,2,2,Built in wardrobes,13,276
Gungahlin,800.0,4,2,2,nan,10,711
Harrison,520.0,2,2,2,nan,9,113
Kambah,250.0,4,3,2,nan,10,813
Reid,530.0,2,1,1,nan,13,774
Braddon,750.0,2,2,2,Air conditioning,13,604
Dickson,550.0,1,1,1,Energy Eff. Rating: 0.1,14,629
Ngunnawal,550.0,3,1,1,Heating,9,733
Curtin,850.0,4,3,3,Multiple living areas,13,1016
Wright,100.0,5,3,2,Secure Parking,7,1448
Palmerston,620.0,3,2,1,Secure Parking,11,526
Phillip,430.0,1,1,0,Air conditioning,14,453
Belconnen,530.0,2,2,1,Pets Allowed,10,273
Phillip,222.0,1,1,1,Air conditioning,14,424
Griffith,nan,1,1,1,Built in wardrobes,15,201
Kambah,590.0,3,1,1,Close to transport,14,344
Braddon,770.0,3,2,2,nan,12,181
Evatt,570.0,3,1,1,nan,12,534
Phillip,460.0,1,1,1,nan,14,547
Phillip,400.0,1,1,0,nan,14,453
Phillip,590.0,2,2,2,nan,14,547
Phillip,580.0,2,2,1,nan,14,399
Denman Prospect,460.0,1,1,1,Pets Allowed,7,529
Harrison,750.0,4,2,2,nan,10,1309
Red Hill,nan,2,2,2,nan,14,232
Lyneham,455.0,1,1,1,Secure Parking,13,508
Dickson,600.0,2,2,2,nan,14,451
Braddon,525.0,2,1,2,nan,13,356
Isaacs,1500.0,5,4,5,Study,13,1319
Lyneham,1100.0,5,3,2,Dishwasher,12,1311
Lyneham,630.0,1,1,1,Air conditioning,13,435
Palmerston,550.0,2,1,1,Secure Parking,11,453
Braddon,530.0,1,1,1,Balcony / Deck,13,814
Garran,590.0,3,1,1,nan,13,360
City,700.0,2,2,1,Air conditioning,13,1333
Amaroo,500.0,2,1,1,Pets Allowed,11,381
Campbell,540.0,1,1,1,Air conditioning,13,488
Garran,nan,5,2,2,Built in wardrobes,13,926
Gungahlin,480.0,1,1,1,Pets Allowed,11,678
Reid,950.0,3,2,1,Built in wardrobes,13,650
Forrest,580.0,1,1,1,Air conditioning,14,412
Dickson,475.0,1,1,1,nan,14,708
Belconnen,600.0,2,2,2,Pets Allowed,10,347
Braddon,590.0,1,1,1,Energy Eff. Rating: 5,13,882
Phillip,480.0,1,1,1,Built in wardrobes,14,409
Braddon,590.0,2,1,1,Area Views,13,593
Moncrieff,520.0,2,1,0,Above ground pool,9,158
Dickson,449.0,2,3,1,Air conditioning,14,508
Coombs,820.0,4,3,2,Secure Parking,9,643
Phillip,550.0,2,2,2,Pets Allowed,14,453
Amaroo,450.0,1,1,1,Pets Allowed,11,381
Kingston,640.0,2,2,2,Intercom,15,681
Coombs,820.0,4,3,2,Secure Parking,9,643
Denman Prospect,900.0,4,2,3,Ensuite(s),7,724
Red Hill,50.0,4,2,2,nan,14,354
Gungahlin,405.0,1,1,0,Pets Allowed,11,610
Barton,nan,1,1,1,Dishwasher,14,864
Harrison,440.0,1,1,1,Pets Allowed,11,358
Turner,630.0,2,2,2,Pets Allowed,13,266
Ngunnawal,600.0,3,2,1,Ensuite,10,586
Harrison,650.0,3,2,2,Pets Allowed,11,358
nan,650.0,3,2,2,Secure Parking,9,381
Duffy,630.0,3,1,1,nan,11,826
Gungahlin,515.0,2,1,1,Pets Allowed,11,678
Gungahlin,530.0,2,2,1,Pets Allowed,11,678
Reid,550.0,1,1,1,nan,13,775
Amaroo,450.0,1,1,1,Pets Allowed,11,381
Ngunnawal,795.0,4,2,2,Built in wardrobes,13,485
Phillip,430.0,1,1,0,Air conditioning,14,424
Phillip,530.0,2,1,1,Energy Eff. Rating: 3.5,14,896
Reid,nan,2,1,1,Intercom,13,790
Holt,650.0,3,2,2,Secure Parking,10,816
Phillip,650.0,2,2,2,Air conditioning,14,424
Parkes,880.0,2,2,2,Pets Allowed,12,867
Campbell,690.0,2,2,2,Secure Parking,13,628
Phillip,530.0,2,2,1,Pets Allowed,14,399
Phillip,490.0,1,1,1,Pets Allowed,14,457
Phillip,530.0,2,2,1,Pets Allowed,14,424
Phillip,550.0,2,2,2,Pets Allowed,14,424
Phillip,430.0,1,1,1,Pets Allowed,14,459
Phillip,430.0,1,1,1,Pets Allowed,14,457
Phillip,430.0,1,1,1,Pets Allowed,14,457
Phillip,530.0,2,2,1,Pets Allowed,14,453
Lyneham,750.0,2,2,1,Air conditioning,13,575
Phillip,450.0,1,1,1,Gym,14,399
Campbell,550.0,2,1,1,nan,13,325
Mawson,670.0,3,2,2,nan,13,926
Phillip,500.0,2,2,1,Air conditioning,14,424
Braddon,600.0,2,2,1,Energy Eff. Rating: 0.1,13,882
Taylor,600.0,2,2,2,nan,10,155
Forrest,282.0,1,1,2,Dishwasher,14,461
Griffith,560.0,2,2,1,nan,15,219
Harrison,550.0,2,2,2,Pets Allowed,11,358
Hackett,400.0,2,1,1,nan,13,251
Belconnen,470.0,1,1,1,Pets Allowed,10,255
Greenway,620.0,2,2,2,Air conditioning,12,1085
Kingston,725.0,2,2,2,nan,15,1142
Red Hill,0.0,3,2,2,nan,14,224
nan,700.0,3,1,2,Pets Allowed,13,1143
Griffith,550.0,2,2,1,nan,15,595
Forrest,620.0,2,1,1,nan,14,221
Phillip,470.0,1,1,1,nan,14,399
Phillip,815.0,3,2,2,nan,14,386
Phillip,675.0,2,2,1,Air conditioning,14,399
Campbell,60.0,3,3,2,nan,13,545
Reid,540.0,1,1,1,Secure Parking,13,775
Phillip,600.0,2,2,2,Air conditioning,14,399
Ainslie,nan,1,1,0,Built in wardrobes,12,600
Gungahlin,520.0,1,1,1,nan,11,678
City,530.0,1,1,1,Secure Parking,13,1711
Denman Prospect,740.0,3,2,2,Secure Parking,7,754
Barton,550.0,2,1,1,Air conditioning,14,356
Coombs,475.0,1,1,0,Furnished,9,648
Amaroo,440.0,1,1,1,Pets Allowed,11,381
Flynn,425.0,4,2,4,Dishwasher,10,1063
Phillip,590.0,2,2,2,nan,14,409
Kingston,740.0,2,2,2,Air conditioning,15,579
Gungahlin,220.0,5,3,2,Secure Parking,10,430
Kingston,800.0,3,2,2,nan,15,691
Phillip,530.0,2,2,1,nan,14,399
Yarralumla,359.0,2,1,2,nan,14,385
Taylor,1100.0,4,3,2,nan,10,862
Deakin,13.0,5,3,2,Air conditioning,14,751
Turner,470.0,1,1,1,nan,13,1172
Yarralumla,640.0,2,1,2,nan,14,346
Deakin,2400.0,4,3,3,Secure Parking,15,282
Phillip,550.0,2,1,1,Energy Eff. Rating: 6,14,547
Gungahlin,550.0,2,1,0,Air conditioning,10,622
Phillip,480.0,1,1,1,Secure Parking,14,458
Narrabundah,0.0,4,2,1,Air conditioning,14,594
Phillip,510.0,1,1,1,Air conditioning,14,399
Yarralumla,635.0,2,1,1,nan,14,324
Amaroo,420.0,1,1,1,Pets Allowed,11,381
Braddon,700.0,2,2,1,Air conditioning,13,577
Narrabundah,1395.0,5,2,2,Air conditioning,15,165
Phillip,470.0,1,1,1,Air conditioning,14,399
Wright,440.0,1,1,1,Pets Allowed,9,757
Lawson,720.0,3,2,2,Secure Parking,12,1090
Red Hill,1.0,4,3,2,Secure Parking,14,447
Narrabundah,nan,2,1,2,Built in wardrobes,15,421
Phillip,450.0,1,1,1,nan,14,399
Taylor,410.0,1,1,0,nan,10,265
Dickson,450.0,2,1,1,nan,14,252
Kingston,600.0,2,1,1,Dishwasher,15,823
Turner,650.0,2,2,1,Air conditioning,13,515
Lyneham,675.0,3,1,2,Fully fenced,13,404
Campbell,510.0,1,1,0,Furnished,13,229
Taylor,470.0,2,1,0,nan,8,594
Phillip,665.0,2,2,2,nan,14,909
Hackett,420.0,2,1,1,Bath,13,251
City,650.0,2,1,1,Balcony,13,1121
Phillip,267.0,2,2,1,Air conditioning,14,399
Lyons,187.0,0,1,1,Balcony,14,981
Amaroo,600.0,3,2,1,Secure Parking,11,854
Belconnen,550.0,2,1,1,Balcony,10,325
Phillip,890.0,3,2,2,nan,14,458
Turner,490.0,1,1,1,Pets Allowed,13,266
Denman Prospect,125.0,4,3,2,Balcony,7,740
Kaleen,600.0,4,2,2,Built in wardrobes,11,617
Red Hill,251.0,7,6,5,Air conditioning,14,723
Phillip,265.0,1,1,1,Gym,14,399
Phillip,400.0,1,1,0,Pets Allowed,14,409
Campbell,760.0,4,1,2,Secure Parking,13,502
Strathnairn,520.0,2,1,0,Air conditioning,8,1928
Phillip,610.0,2,2,1,Air conditioning,14,453
Campbell,282.0,1,1,1,Dishwasher,13,604
Ainslie,650.0,3,1,2,nan,13,539
Turner,530.0,1,1,1,Intercom,13,329
Gungahlin,545.0,1,1,1,Pets Allowed,11,420
Wanniassa,720.0,4,2,2,Dishwasher,12,299
Gungahlin,630.0,3,2,1,Pets Allowed,11,420
Bruce,600.0,2,2,2,Air conditioning,12,1055
Griffith,570.0,2,1,1,Balcony,15,595
Bruce,740.0,3,2,2,Courtyard,12,686
nan,505.0,1,1,1,Air conditioning,13,257
Franklin,650.0,3,1,1,Energy Eff. Rating: 5,10,460
Braddon,nan,2,1,0,nan,12,241
Gungahlin,530.0,2,1,1,Pets Allowed,11,678
Gungahlin,480.0,1,1,1,Pets Allowed,11,420
Gungahlin,550.0,2,2,1,Pets Allowed,11,420
Gungahlin,570.0,2,1,2,Pets Allowed,11,420
Griffith,570.0,2,2,1,nan,15,219
Phillip,199.0,1,1,0,Air conditioning,14,399
Phillip,650.0,2,2,1,Air conditioning,14,551
Wanniassa,600.0,3,1,2,Secure Parking,13,430
Palmerston,649.0,3,2,2,Pets Allowed,11,475
Phillip,500.0,1,1,1,Air conditioning,14,399
Chifley,287.0,3,1,1,nan,13,1033
Phillip,585.0,2,2,1,Air conditioning,14,424
City,200.0,3,3,2,Air conditioning,13,1333
Franklin,220.0,7,4,2,Secure Parking,10,411
Phillip,490.0,1,1,1,Gym,14,424
Watson,615.0,3,0,1,Secure Parking,11,1893
Higgins,780.0,6,2,2,nan,10,127
Nicholls,750.0,4,2,2,nan,12,1079
Braddon,360.0,2,2,2,nan,13,604
Strathnairn,700.0,3,2,2,Secure Parking,8,2475
Whitlam,750.0,3,2,2,Secure Parking,4,3188
Amaroo,500.0,2,1,2,Pets Allowed,11,381
Lyneham,680.0,2,2,2,Air conditioning,13,307
Phillip,460.0,1,1,1,Air conditioning,14,424
Dickson,620.0,2,2,0,Air conditioning,14,629
Belconnen,620.0,2,2,1,Balcony,10,302
Amaroo,640.0,3,2,2,Air conditioning,11,453
Narrabundah,650.0,4,1,3,Secure Parking,15,283
Turner,490.0,1,1,1,Pets Allowed,13,266
Coombs,540.0,2,1,2,nan,9,648
Barton,825.0,2,2,2,Secure Parking,14,787
Whitlam,1050.0,4,3,2,Built in wardrobes,4,3193
nan,480.0,1,1,0,Courtyard,13,695
Kaleen,780.0,3,2,2,Remote Garage,11,632
Bruce,270.0,2,1,1,Balcony,12,986
Kingston,320.0,2,2,2,Balcony,15,959
nan,750.0,5,3,3,nan,13,745
Lyneham,325.0,1,1,0,Energy Eff. Rating: 1,12,687
Isaacs,242.0,1,1,0,Study,13,1462
Greenway,480.0,2,1,1,Pets Allowed,13,657
Greenway,540.0,2,2,1,Pets Allowed,13,657
Greenway,540.0,2,2,1,Pets Allowed,13,657
Greenway,450.0,1,1,1,Pets Allowed,13,657
Greenway,480.0,2,1,1,Pets Allowed,13,657
Downer,520.0,3,1,0,nan,16,564
Greenway,450.0,1,1,1,Pets Allowed,13,657
Turner,600.0,3,1,0,nan,13,712
Greenway,490.0,2,1,1,Pets Allowed,13,657
Nicholls,740.0,4,2,2,nan,12,346
Gungahlin,960.0,5,2,3,Air conditioning,10,1263
Dickson,775.0,3,2,1,Air conditioning,14,343
Forrest,620.0,2,3,2,Air conditioning,14,330
Lyons,575.0,3,1,1,Gas Heating,14,683
Braddon,720.0,2,2,1,Air conditioning,13,518
nan,700.0,3,2,1,Ensuite,12,485
Dickson,680.0,2,2,1,Air conditioning,13,315
Taylor,690.0,4,2,2,Secure Parking,10,332
Lyneham,850.0,3,2,2,Air conditioning,13,270
Gungahlin,760.0,4,3,2,Ensuite,10,992
Belconnen,355.0,1,2,0,Ensuite,10,649
Phillip,485.0,1,1,1,Energy Eff. Rating: 6,14,728
Ngunnawal,720.0,4,2,2,Secure Parking,13,552
Belconnen,640.0,2,2,1,Air conditioning,10,247
Griffith,595.0,1,1,1,Air conditioning,15,260
Wright,50.0,4,3,2,Secure Parking,7,1753
nan,730.0,4,2,3,nan,15,54
Griffith,600.0,2,1,2,Air conditioning,14,254
Deakin,100.0,4,2,2,nan,14,477
nan,nan,3,2,2,Ensuite,13,402
Gungahlin,720.0,4,3,2,Ensuite,10,1220
nan,750.0,3,2,2,Secure Parking,11,120
Belconnen,680.0,2,2,1,Energy Eff. Rating: 5,10,331
Hackett,325.0,3,1,1,nan,13,667
Harrison,700.0,4,2,2,Air conditioning,7,594
Bonner,680.0,4,3,2,Ensuite,7,1378
Turner,230.0,1,1,1,nan,13,1105
nan,750.0,3,2,2,Secure Parking,14,68
Calwell,260.0,3,1,1,nan,10,576
Downer,420.0,1,1,1,nan,14,1193
Phillip,240.0,1,1,1,nan,14,769
Reid,595.0,2,1,1,Gas,13,772
Red Hill,300.0,5,3,4,Pets Allowed,14,180
Denman Prospect,565.0,2,1,2,Secure Parking,7,420
Page,580.0,3,1,1,Secure Parking,11,622
Casey,0.0,4,2,2,Air conditioning,10,1253
Taylor,450.0,3,2,2,Balcony,7,979
Franklin,800.0,4,2,2,Secure Parking,10,371
Denman Prospect,700.0,2,2,2,Air conditioning,7,855
Latham,665.0,3,2,1,Secure Parking,10,236
Phillip,760.0,3,2,2,Air conditioning,14,909
nan,250.0,1,1,1,Internal Laundry,10,432
Franklin,220.0,7,4,2,Secure Parking,10,411
Franklin,220.0,7,4,2,Secure Parking,10,411
Gungahlin,220.0,5,3,2,Secure Parking,10,430
nan,250.0,1,1,1,Internal Laundry,10,432
nan,250.0,1,1,1,Internal Laundry,10,432
Lyneham,325.0,1,1,0,Energy Eff. Rating: 1,12,687
Belconnen,355.0,1,2,0,Ensuite,10,649
City,349.0,1,1,0,Internal Laundry,13,1162
Lyneham,325.0,1,1,0,Energy Eff. Rating: 1,12,687
Kambah,350.0,1,1,1,Air conditioning,13,1197
Taylor,350.0,1,1,0,nan,10,674
Lyons,350.0,1,1,1,nan,14,551
Hughes,350.0,1,1,0,nan,13,301
Phillip,nan,1,1,1,Built in wardrobes,14,564
Phillip,485.0,2,1,1,Air conditioning,16,494
Lyneham,355.0,1,1,0,nan,13,443
Banks,360.0,1,1,1,Air conditioning,6,1319
Pearce,nan,2,1,1,nan,13,512
Fraser,195.0,1,1,0,Close to transport,8,546
Lyons,350.0,1,1,1,nan,14,551
Nicholls,360.0,1,1,0,Heating,12,322
Kambah,352.0,2,1,1,Secure Parking,15,384
Phillip,nan,1,1,1,Built in wardrobes,14,564
Phillip,400.0,1,1,0,Air conditioning,14,399
Page,390.0,1,1,1,Built in wardrobes,13,593
Hughes,350.0,1,1,0,nan,13,301
Mawson,200.0,2,1,1,Air conditioning,13,626
Campbell,390.0,1,1,1,nan,13,304
Red Hill,390.0,1,1,1,nan,14,416
Page,365.0,1,1,1,Close to transport,12,419
Mawson,360.0,1,1,1,nan,13,626
Phillip,400.0,1,1,0,nan,16,508
Lyneham,400.0,1,1,1,nan,13,306
Phillip,395.0,1,1,0,Air conditioning,14,424
City,349.0,1,1,0,Internal Laundry,13,1162
Lyons,187.0,0,1,1,Balcony,14,981
Lyneham,325.0,1,1,0,Energy Eff. Rating: 1,12,687
Belconnen,355.0,1,2,0,Ensuite,10,649
Yarralumla,359.0,2,1,2,nan,14,385
Phillip,199.0,1,1,0,Air conditioning,14,399
Phillip,400.0,1,1,0,Pets Allowed,14,409
Hackett,400.0,2,1,1,nan,13,251
Phillip,400.0,1,1,0,nan,14,453
Taylor,350.0,1,1,0,nan,10,674
Kambah,350.0,1,1,1,Air conditioning,13,1197
Phillip,440.0,1,1,1,Air conditioning,16,508
Wright,440.0,1,1,1,Dishwasher,9,264
Bruce,440.0,1,1,1,Dishwasher,12,943
Bruce,450.0,1,1,1,Built in wardrobes,12,943
Phillip,450.0,1,1,1,nan,14,569
Lyneham,400.0,1,1,1,nan,13,306
Phillip,450.0,1,1,1,Energy Eff. Rating: 6,14,547
Phillip,440.0,1,1,1,Air conditioning,14,424
Phillip,400.0,1,1,0,Air conditioning,14,399
Wright,420.0,1,1,1,Pets Allowed,9,757
Phillip,450.0,1,1,1,Double glazed windows,14,399
Phillip,450.0,1,1,0,Air conditioning,16,494
Gungahlin,440.0,1,1,1,Close to transport,10,674
Phillip,450.0,1,1,1,nan,14,409
Gungahlin,430.0,1,1,1,Air conditioning,10,857
Phillip,450.0,1,1,1,Air conditioning,14,399
Gungahlin,435.0,1,1,1,nan,10,697
Gungahlin,450.0,1,1,1,nan,11,580
Phillip,400.0,1,1,0,nan,16,508
Phillip,450.0,1,1,1,nan,14,424
Flynn,420.0,1,1,1,Built in wardrobes,9,538
Ngunnawal,411.0,3,1,1,Secure Parking,9,672
Phillip,450.0,1,1,1,nan,16,494
Wright,450.0,1,1,1,Secure Parking,9,190
Mawson,200.0,2,1,1,Air conditioning,13,626
Campbell,nan,1,1,1,Built in wardrobes,13,112
Taylor,420.0,1,1,0,nan,7,1256
Phillip,440.0,1,1,1,Intercom,14,547
Bruce,445.0,1,1,1,Built in wardrobes,12,696
Belconnen,440.0,1,1,0,Built in wardrobes,10,223
Franklin,440.0,1,1,1,Air conditioning,10,928
Belconnen,450.0,1,1,1,Air conditioning,10,187
